user_id,signup_date,channel,device,country
U000047,2024-01-10,paid_search,mobile,CD
U000048,2024-02-28,organic,desktop,TL
U000049,2024-02-17,organic,mobile,LU
U000050,2024-02-23,social,mobile,RO
U000051,2024-01-31,paid_search,mobile,UY
U000052,2024-02-28,organic,mobile,NI
U000053,2024-02-04,paid_search,mobile,LB
U000054,2024-02-17,paid_search,desktop,MC
U000055,2024-02-27,paid_search,desktop,LA
U000056,2024-01-05,paid_search,mobile,WS
U000057,2024-01-21,social,mobile,IQ
U000058,2024-01-07,email,mobile,KN
U000059,2024-01-23,paid_search,desktop,FM
U000060,2024-01-16,referral,mobile,TZ
U000061,2024-01-12,email,desktop,LU
U000062,2024-02-10,paid_search,mobile,AO
U000063,2024-02-04,organic,desktop,BZ
U000064,2024-01-22,organic,mobile,PE
U000065,2024-01-18,referral,mobile,GQ
U000066,2024-02-23,paid_search,mobile,FM
U000067,2024-01-06,organic,mobile,DZ
U000068,2024-01-28,email,desktop,TD
U000069,2024-02-27,organic,mobile,AO
U000070,2024-01-19,organic,mobile,VC
U000071,2024-02-08,organic,mobile,TV
U000072,2024-02-18,organic,desktop,FR
U000073,2024-01-10,social,desktop,ER
U000074,2024-02-22,email,desktop,IS
U000075,2024-02-28,organic,mobile,DO
U000076,2024-02-23,organic,mobile,AE
U000077,2024-01-20,social,mobile,MG
U000078,2024-02-21,email,mobile,TT
U000079,2024-01-24,paid_search,desktop,FR
U000080,2024-02-09,email,mobile,ZM
U000081,2024-01-07,organic,mobile,CO
U000082,2024-02-18,paid_search,desktop,SC
U000083,2024-01-04,organic,mobile,KM
U000084,2024-02-08,organic,desktop,CF
U000085,2024-01-03,email,desktop,JM
U000086,2024-01-16,paid_search,desktop,SI
U000087,2024-02-17,organic,mobile,UY
U000088,2024-01-14,organic,desktop,IL
U000089,2024-02-07,social,mobile,QA
U000090,2024-02-12,organic,desktop,EE
U000091,2024-01-29,social,mobile,TJ
U000092,2024-01-24,referral,tablet,MG
U000093,2024-01-25,social,desktop,CM
U000094,2024-01-27,organic,mobile,FR
U000095,2024-02-20,organic,mobile,KM
U000096,2024-02-02,organic,mobile,GE
U000097,2024-02-17,organic,mobile,LY
U000098,2024-02-29,organic,desktop,CZ
U000099,2024-01-19,referral,desktop,KH
U000100,2024-02-11,social,mobile,UZ
U000101,2024-01-04,paid_search,mobile,TT
U000102,2024-02-09,organic,mobile,SN
U000103,2024-01-05,organic,mobile,SL
U000104,2024-02-29,organic,mobile,LV
U000105,2024-02-14,organic,mobile,BO
U000106,2024-02-01,paid_search,mobile,HT
U000107,2024-01-03,organic,mobile,TM
U000108,2024-01-01,referral,mobile,LV
U000109,2024-01-15,email,desktop,CF
U000110,2024-02-29,organic,mobile,BS
U000111,2024-01-03,organic,desktop,IT
U000112,2024-02-06,organic,mobile,SC
U000113,2024-02-27,organic,mobile,TV
U000114,2024-01-03,organic,desktop,LB
U000115,2024-02-23,organic,desktop,IS
U000116,2024-02-05,organic,mobile,GR
U000117,2024-01-25,paid_search,desktop,KG
U000118,2024-01-26,organic,mobile,TV
U000119,2024-01-04,social,mobile,LA
U000120,2024-02-11,email,mobile,CH
U000121,2024-01-20,referral,mobile,RO
U000122,2024-01-30,organic,mobile,BZ
U000123,2024-01-23,paid_search,mobile,KN
U000124,2024-02-28,paid_search,mobile,TG
U000125,2024-02-12,organic,desktop,LK
U000126,2024-02-25,paid_search,mobile,AF
U000127,2024-02-29,organic,mobile,ES
U000128,2024-01-22,organic,mobile,ET
U000129,2024-01-15,organic,desktop,BJ
U000130,2024-01-12,organic,mobile,ML
U000131,2024-02-29,referral,mobile,EC
U000132,2024-01-04,referral,desktop,DJ
U000133,2024-01-31,organic,mobile,IE
U000134,2024-01-18,paid_search,desktop,RS
U000135,2024-01-22,paid_search,desktop,IL
U000136,2024-02-04,paid_search,mobile,KZ
U000137,2024-01-29,organic,mobile,MR
U000138,2024-02-17,social,mobile,CM
U000139,2024-02-09,paid_search,mobile,DE
U000140,2024-01-03,organic,mobile,BG
U000141,2024-01-05,referral,mobile,CN
U000142,2024-01-15,organic,desktop,PG
U000143,2024-02-12,paid_search,desktop,MM
U000144,2024-01-01,organic,desktop,SR
U000145,2024-01-19,social,desktop,BD
U000146,2024-02-17,organic,mobile,MA
U000147,2024-01-04,email,mobile,SL
U000148,2024-01-05,paid_search,mobile,CU
U000149,2024-01-05,organic,mobile,BG
U000150,2024-02-23,organic,mobile,DM
U000151,2024-01-28,organic,mobile,JO
U000152,2024-02-17,social,mobile,CZ
U000153,2024-02-09,paid_search,desktop,GM
U000154,2024-01-09,paid_search,desktop,MA
U000155,2024-01-05,social,desktop,IT
U000156,2024-01-06,organic,desktop,ZA
U000157,2024-02-08,social,mobile,BY
U000158,2024-01-07,paid_search,tablet,UZ
U000159,2024-02-12,email,desktop,DM
U000160,2024-01-30,organic,mobile,BN
U000161,2024-01-07,organic,mobile,SZ
U000162,2024-01-21,social,mobile,AO
U000163,2024-01-24,organic,mobile,BF
U000164,2024-02-26,organic,desktop,IT
U000165,2024-01-12,social,mobile,CL
U000166,2024-02-29,organic,mobile,BD
U000167,2024-01-02,organic,mobile,GA
U000168,2024-02-25,organic,mobile,QA
U000169,2024-02-17,email,mobile,TV
U000170,2024-01-10,paid_search,mobile,FJ
U000171,2024-01-03,organic,desktop,PE
U000172,2024-01-19,paid_search,mobile,KG
U000173,2024-02-15,organic,mobile,ES
U000174,2024-02-06,paid_search,mobile,GR
U000175,2024-02-21,social,mobile,ET
U000176,2024-02-17,email,mobile,TN
U000177,2024-01-14,email,mobile,VC
U000178,2024-01-27,organic,mobile,GM
U000179,2024-02-10,social,mobile,TG
U000180,2024-01-15,organic,mobile,NA
U000181,2024-02-10,organic,desktop,SD
U000182,2024-02-07,social,mobile,TL
U000183,2024-01-25,social,mobile,MU
U000184,2024-01-19,organic,desktop,AG
U000185,2024-02-22,email,mobile,UY
U000186,2024-02-01,organic,mobile,BA
U000187,2024-01-15,social,tablet,ST
U000188,2024-01-10,organic,mobile,CY
U000189,2024-02-29,paid_search,mobile,CU
U000190,2024-02-04,email,mobile,KI
U000191,2024-01-14,paid_search,desktop,SL
U000192,2024-01-02,paid_search,desktop,LR
U000193,2024-01-05,referral,mobile,NO
U000194,2024-01-23,email,desktop,HN
U000195,2024-01-29,referral,desktop,CO
U000196,2024-02-04,referral,mobile,YE
U000197,2024-01-13,referral,mobile,PA
U000198,2024-01-13,email,desktop,GN
U000199,2024-01-12,paid_search,mobile,BR
U000200,2024-01-19,email,mobile,LR
U000201,2024-02-09,social,mobile,RS
U000202,2024-02-08,email,mobile,CM
U000203,2024-01-13,social,mobile,TR
U000204,2024-02-01,organic,mobile,IT
U000205,2024-01-11,organic,mobile,EG
U000206,2024-02-29,organic,mobile,JP
U000207,2024-01-28,organic,desktop,NI
U000208,2024-01-21,social,desktop,TD
U000209,2024-01-11,organic,mobile,DZ
U000210,2024-02-12,organic,desktop,TJ
U000211,2024-02-02,organic,mobile,MN
U000212,2024-02-21,organic,mobile,EE
U000213,2024-01-10,organic,desktop,GW
U000214,2024-02-12,organic,mobile,BB
U000215,2024-02-13,referral,mobile,JP
U000216,2024-02-21,email,desktop,HR
U000217,2024-02-23,organic,mobile,ID
U000218,2024-01-03,organic,tablet,HR
U000219,2024-02-24,email,desktop,SM
U000220,2024-01-07,organic,desktop,BO
U000221,2024-02-21,email,desktop,MG
U000222,2024-02-28,email,mobile,PY
U000223,2024-02-20,email,mobile,BG
U000224,2024-01-14,organic,mobile,CL
U000225,2024-01-23,organic,desktop,DZ
U000226,2024-01-17,social,desktop,MU
U000227,2024-01-11,social,desktop,IN
U000228,2024-02-07,organic,desktop,TN
U000229,2024-02-25,organic,desktop,DK
U000230,2024-01-01,email,desktop,EE
U000231,2024-02-29,referral,tablet,HT
U000232,2024-01-31,paid_search,mobile,BS
U000233,2024-02-29,paid_search,desktop,UA
U000234,2024-01-10,organic,mobile,MC
U000235,2024-02-03,referral,tablet,UY
U000236,2024-01-04,paid_search,mobile,TD
U000237,2024-02-28,paid_search,desktop,NE
U000238,2024-01-01,social,mobile,CU
U000239,2024-01-16,paid_search,desktop,NR
U000240,2024-02-08,paid_search,mobile,UZ
U000241,2024-01-12,organic,desktop,KH
U000242,2024-01-13,social,desktop,NP
U000243,2024-02-24,social,mobile,BO
U000244,2024-01-17,organic,tablet,ER
U000245,2024-01-03,organic,desktop,FR
U000246,2024-02-19,organic,desktop,BH
U000247,2024-02-05,organic,mobile,PS
U000248,2024-02-26,organic,tablet,SD
U000249,2024-01-13,social,mobile,SL
U000250,2024-01-05,organic,desktop,MD
U000251,2024-01-16,email,mobile,BF
U000252,2024-02-20,organic,desktop,ST
U000253,2024-02-03,social,desktop,NG
U000254,2024-02-27,email,desktop,MY
U000255,2024-01-29,paid_search,desktop,LU
U000256,2024-01-05,organic,mobile,CU
U000257,2024-02-19,paid_search,mobile,KM
U000258,2024-02-28,organic,mobile,PK
U000259,2024-01-13,referral,mobile,ME
U000260,2024-02-18,paid_search,desktop,KM
U000261,2024-02-02,paid_search,mobile,KW
U000262,2024-01-14,organic,mobile,ST
U000263,2024-02-20,paid_search,mobile,AR
U000264,2024-01-12,organic,mobile,GB
U000265,2024-01-05,organic,desktop,NR
U000266,2024-01-03,social,mobile,PK
U000267,2024-01-01,organic,mobile,BN
U000268,2024-02-22,social,mobile,NG
U000269,2024-01-27,organic,desktop,TL
U000270,2024-01-04,paid_search,mobile,MU
U000271,2024-01-10,organic,mobile,LI
U000272,2024-02-04,organic,desktop,BT
U000273,2024-02-06,organic,desktop,AZ
U000274,2024-01-02,organic,mobile,AZ
U000275,2024-02-22,social,desktop,UG
U000276,2024-01-19,social,mobile,KE
U000277,2024-01-26,organic,desktop,KP
U000278,2024-02-27,referral,mobile,BS
U000279,2024-01-16,email,desktop,MD
U000280,2024-02-14,paid_search,tablet,SC
U000281,2024-01-29,organic,desktop,ZA
U000282,2024-01-06,organic,desktop,HU
U000283,2024-02-07,organic,mobile,IR
U000284,2024-01-11,social,mobile,RW
U000285,2024-02-26,organic,desktop,ZM
U000286,2024-01-01,organic,desktop,CU
U000287,2024-02-03,paid_search,mobile,AL
U000288,2024-01-11,social,desktop,LC
U000289,2024-02-07,organic,mobile,UZ
U000290,2024-01-22,organic,desktop,RS
U000291,2024-01-01,social,desktop,AG
U000292,2024-01-22,organic,mobile,GA
U000293,2024-01-08,paid_search,desktop,ME
U000294,2024-01-25,organic,mobile,BI
U000295,2024-01-18,social,desktop,TH
U000296,2024-01-05,organic,desktop,EE
U000297,2024-01-13,organic,desktop,SB
U000298,2024-02-23,organic,tablet,GQ
U000299,2024-02-21,organic,tablet,VU
U000300,2024-02-16,email,mobile,EG
U000301,2024-02-23,paid_search,mobile,BZ
U000302,2024-01-15,organic,tablet,MD
U000303,2024-01-10,social,desktop,GM
U000304,2024-02-10,referral,desktop,KW
U000305,2024-01-20,organic,mobile,CZ
U000306,2024-02-01,organic,tablet,JM
U000307,2024-01-31,referral,desktop,CI
U000308,2024-02-21,organic,mobile,LR
U000309,2024-02-01,organic,desktop,DJ
U000310,2024-02-06,organic,desktop,AR
U000311,2024-01-11,paid_search,mobile,MT
U000312,2024-02-13,organic,mobile,PL
U000313,2024-01-29,referral,mobile,LV
U000314,2024-02-09,organic,desktop,ID
U000315,2024-02-23,organic,desktop,FI
U000316,2024-01-08,paid_search,mobile,LR
U000317,2024-01-08,paid_search,mobile,AT
U000318,2024-01-27,organic,mobile,SD
U000319,2024-01-28,paid_search,desktop,TW
U000320,2024-02-09,paid_search,mobile,MN
U000321,2024-02-20,paid_search,tablet,CU
U000322,2024-01-24,organic,desktop,AR
U000323,2024-02-22,organic,mobile,LK
U000324,2024-01-17,organic,mobile,BS
U000325,2024-02-15,organic,mobile,BY
U000326,2024-01-18,email,mobile,ZW
U000327,2024-01-10,email,mobile,SA
U000328,2024-01-11,email,mobile,PS
U000329,2024-01-23,email,mobile,IQ
U000330,2024-02-07,social,desktop,FI
U000331,2024-02-11,referral,mobile,WS
U000332,2024-01-14,organic,mobile,HT
U000333,2024-01-19,social,desktop,LT
U000334,2024-02-01,organic,mobile,AG
U000335,2024-01-15,paid_search,desktop,GN
U000336,2024-02-17,organic,mobile,CH
U000337,2024-01-25,email,mobile,AF
U000338,2024-01-16,paid_search,mobile,LU
U000339,2024-01-14,social,mobile,MR
U000340,2024-02-25,paid_search,mobile,VC
U000341,2024-02-28,paid_search,desktop,OM
U000342,2024-02-20,organic,mobile,SG
U000343,2024-01-11,organic,mobile,KZ
U000344,2024-01-03,organic,mobile,LB
U000345,2024-02-16,referral,mobile,KG
U000346,2024-01-01,referral,desktop,EG
U000347,2024-02-17,paid_search,mobile,MN
U000348,2024-02-20,paid_search,desktop,SB
U000349,2024-01-24,email,mobile,CN
U000350,2024-02-08,social,desktop,CU
U000351,2024-02-25,organic,mobile,RS
U000352,2024-02-19,organic,desktop,TG
U000353,2024-01-23,organic,desktop,TR
U000354,2024-02-26,organic,mobile,CY
U000355,2024-02-01,organic,mobile,GQ
U000356,2024-02-27,organic,tablet,TT
U000357,2024-01-31,organic,mobile,VN
U000358,2024-02-23,organic,desktop,MG
U000359,2024-02-08,organic,tablet,BG
U000360,2024-02-14,organic,desktop,BA
U000361,2024-01-28,organic,desktop,SA
U000362,2024-01-09,paid_search,desktop,ET
U000363,2024-02-11,organic,mobile,CG
U000364,2024-02-05,organic,desktop,CH
U000365,2024-02-09,paid_search,mobile,MG
U000366,2024-01-22,paid_search,mobile,EE
U000367,2024-02-29,organic,desktop,ZA
U000368,2024-02-15,paid_search,mobile,DK
U000369,2024-02-06,organic,mobile,KG
U000370,2024-01-12,social,mobile,CU
U000371,2024-01-26,paid_search,mobile,SK
U000372,2024-01-06,social,desktop,BR
U000373,2024-02-11,organic,desktop,UY
U000374,2024-01-15,paid_search,desktop,IQ
U000375,2024-02-19,organic,mobile,LB
U000376,2024-02-11,paid_search,mobile,IL
U000377,2024-01-19,social,desktop,UY
U000378,2024-01-02,referral,desktop,MH
U000379,2024-01-06,social,mobile,MN
U000380,2024-01-07,social,mobile,MX
U000381,2024-02-26,social,desktop,PW
U000382,2024-01-03,social,desktop,ZW
U000383,2024-02-27,paid_search,desktop,JO
U000384,2024-01-04,organic,desktop,DK
U000385,2024-01-15,organic,mobile,TG
U000386,2024-01-14,organic,mobile,YE
U000387,2024-01-31,organic,mobile,BF
U000388,2024-02-26,organic,mobile,BE
U000389,2024-01-18,organic,mobile,BO
U000390,2024-01-31,organic,mobile,GB
U000391,2024-01-12,organic,mobile,SV
U000392,2024-02-25,paid_search,desktop,WS
U000393,2024-02-28,organic,mobile,HN
U000394,2024-02-28,organic,mobile,GH
U000395,2024-01-03,organic,desktop,FI
U000396,2024-02-05,organic,desktop,CH
U000397,2024-02-05,organic,mobile,CY
U000398,2024-01-19,organic,mobile,KM
U000399,2024-01-10,referral,mobile,AG
U000400,2024-01-14,organic,desktop,AR
U000401,2024-02-06,organic,desktop,EG
U000402,2024-01-01,referral,desktop,KM
U000403,2024-01-01,paid_search,desktop,TJ
U000404,2024-01-13,email,desktop,BB
U000405,2024-01-22,paid_search,mobile,CN
U000406,2024-02-09,organic,mobile,DJ
U000407,2024-02-16,organic,mobile,TD
U000408,2024-02-12,organic,desktop,CY
U000409,2024-02-19,organic,desktop,AD
U000410,2024-01-26,email,mobile,IR
U000411,2024-02-05,organic,mobile,MX
U000412,2024-02-21,paid_search,desktop,CM
U000413,2024-02-16,paid_search,desktop,FM
U000414,2024-02-07,organic,mobile,GM
U000415,2024-01-15,organic,mobile,FR
U000416,2024-01-11,referral,mobile,ZA
U000417,2024-02-18,organic,mobile,PS
U000418,2024-01-26,email,mobile,AR
U000419,2024-01-19,paid_search,mobile,MT
U000420,2024-02-08,paid_search,mobile,GA
U000421,2024-02-25,paid_search,desktop,PY
U000422,2024-02-03,paid_search,mobile,CU
U000423,2024-02-22,referral,desktop,ST
U000424,2024-01-31,organic,tablet,DE
U000425,2024-02-01,paid_search,tablet,CG
U000426,2024-01-16,organic,mobile,QA
U000427,2024-02-03,email,mobile,CD
U000428,2024-02-16,paid_search,desktop,AL
U000429,2024-02-26,organic,mobile,GE
U000430,2024-02-02,paid_search,tablet,KW
U000431,2024-02-28,organic,mobile,GW
U000432,2024-01-27,organic,desktop,LU
U000433,2024-01-17,organic,mobile,LY
U000434,2024-02-16,referral,mobile,SA
U000435,2024-02-25,organic,mobile,ZA
U000436,2024-01-28,paid_search,desktop,AE
U000437,2024-01-29,referral,desktop,BR
U000438,2024-02-22,organic,desktop,TG
U000439,2024-01-01,email,tablet,HN
U000440,2024-01-25,organic,desktop,IN
U000441,2024-01-15,paid_search,mobile,GH
U000442,2024-02-28,organic,mobile,GA
U000443,2024-01-18,organic,mobile,KH
U000444,2024-02-25,organic,mobile,CV
U000445,2024-02-25,organic,mobile,TL
U000446,2024-02-08,organic,mobile,KZ
U000447,2024-02-09,referral,mobile,SK
U000448,2024-02-15,social,mobile,BH
U000449,2024-01-29,social,mobile,IT
U000450,2024-01-14,social,mobile,VN
U000451,2024-01-01,paid_search,mobile,BA
U000452,2024-02-24,social,desktop,KE
U000453,2024-01-04,referral,desktop,MC
U000454,2024-02-04,social,desktop,LY
U000455,2024-01-04,paid_search,mobile,AL
U000456,2024-02-24,organic,mobile,AM
U000457,2024-01-05,paid_search,mobile,TD
U000458,2024-02-06,organic,mobile,BI
U000459,2024-02-01,organic,desktop,TJ
U000460,2024-02-12,paid_search,desktop,CL
U000461,2024-01-04,paid_search,mobile,AG
U000462,2024-02-07,referral,tablet,UY
U000463,2024-01-15,paid_search,desktop,AF
U000464,2024-01-13,organic,desktop,MA
U000465,2024-01-23,organic,mobile,PL
U000466,2024-02-03,social,tablet,TJ
U000467,2024-01-24,organic,desktop,SK
U000468,2024-02-03,paid_search,tablet,LK
U000469,2024-02-06,email,mobile,BE
U000470,2024-02-05,email,desktop,SD
U000471,2024-01-06,organic,desktop,JO
U000472,2024-02-08,email,mobile,YE
U000473,2024-01-05,organic,mobile,NA
U000474,2024-02-15,social,desktop,NP
U000475,2024-01-24,social,desktop,TD
U000476,2024-02-22,paid_search,mobile,VN
U000477,2024-01-29,organic,tablet,CH
U000478,2024-02-05,organic,desktop,CI
U000479,2024-01-24,paid_search,mobile,CH
U000480,2024-02-16,organic,desktop,LB
U000481,2024-02-21,social,desktop,PW
U000482,2024-01-19,social,mobile,AE
U000483,2024-01-15,organic,desktop,DJ
U000484,2024-01-11,paid_search,desktop,BT
U000485,2024-02-07,organic,desktop,VE
U000486,2024-02-08,social,tablet,MU
U000487,2024-02-25,social,mobile,AG
U000488,2024-01-13,email,desktop,PE
U000489,2024-01-07,email,desktop,CL
U000490,2024-02-29,referral,mobile,ZM
U000491,2024-02-28,organic,desktop,LU
U000492,2024-01-23,referral,desktop,FJ
U000493,2024-01-20,organic,mobile,CA
U000494,2024-02-22,organic,desktop,PE
U000495,2024-01-29,referral,mobile,UA
U000496,2024-01-06,paid_search,mobile,UG
U000497,2024-02-17,paid_search,desktop,US
U000498,2024-01-11,paid_search,mobile,PS
U000499,2024-02-11,paid_search,desktop,PT
U000500,2024-01-20,social,desktop,GN
