order_id,user_id,timestamp,product_id,quantity,total,payment_success
O0000070,U000181,2024-02-01T16:36:06,P00098,1,13.13,True
O0000071,U000183,2024-02-26T04:10:07,P00007,1,5.55,True
O0000072,U000183,2024-01-22T02:31:10,P00020,2,157.1,True
O0000073,U000184,2024-02-08T20:09:31,P00066,1,18.27,True
O0000074,U000187,2024-02-08T10:03:19,P00011,1,13.95,True
O0000075,U000187,2024-01-13T06:31:22,P00090,2,41.14,True
O0000076,U000189,2024-01-13T17:44:01,P00028,2,32.28,True
O0000077,U000192,2024-01-20T06:43:29,P00037,1,47.06,False
O0000078,U000194,2024-01-12T11:38:00,P00075,1,6.88,True
O0000079,U000195,2024-01-07T11:05:40,P00012,1,11.3,True
O0000080,U000198,2024-02-01T15:59:35,P00082,1,21.82,True
O0000081,U000198,2024-01-20T09:21:15,P00036,1,18.59,True
O0000082,U000199,2024-01-08T23:25:49,P00080,1,4.81,True
O0000083,U000203,2024-02-17T05:09:41,P00014,1,31.05,True
O0000084,U000204,2024-02-02T02:02:15,P00054,1,36.83,True
O0000085,U000205,2024-02-14T21:26:03,P00055,1,5.19,True
O0000086,U000208,2024-01-18T06:56:22,P00033,1,19.65,True
O0000087,U000211,2024-01-09T11:34:44,P00073,2,79.9,True
O0000088,U000220,2024-01-30T22:40:28,P00012,1,11.3,True
O0000089,U000225,2024-01-09T01:34:46,P00077,2,117.8,True
O0000090,U000237,2024-02-20T01:11:48,P00092,1,17.41,True
O0000091,U000239,2024-02-26T22:51:12,P00011,1,13.95,True
O0000092,U000239,2024-01-07T18:54:01,P00058,1,34.88,True
O0000093,U000239,2024-02-01T22:46:18,P00091,3,19.32,True
O0000094,U000240,2024-02-16T01:21:24,P00031,1,37.68,False
O0000095,U000242,2024-01-29T17:12:40,P00089,3,44.85,True
O0000096,U000242,2024-01-02T13:38:18,P00029,1,64.1,True
O0000097,U000243,2024-02-08T08:00:37,P00069,2,5.54,True
O0000098,U000248,2024-02-07T16:31:12,P00031,2,75.36,True
O0000099,U000255,2024-02-16T15:29:35,P00052,1,79.67,True
O0000100,U000255,2024-02-09T23:12:44,P00098,1,13.13,True
O0000101,U000257,2024-02-26T05:09:50,P00045,1,38.73,True
O0000102,U000260,2024-01-21T01:31:44,P00050,1,15.04,True
O0000103,U000263,2024-01-22T04:16:55,P00099,1,4.05,True
O0000104,U000265,2024-01-17T02:05:13,P00031,1,37.68,True
O0000105,U000268,2024-01-22T09:35:55,P00070,1,14.98,True
O0000106,U000268,2024-01-02T11:54:03,P00001,1,22.08,True
O0000107,U000273,2024-02-09T11:00:56,P00074,1,27.55,True
O0000108,U000274,2024-01-24T11:38:36,P00064,1,30.5,True
O0000109,U000275,2024-02-09T05:19:00,P00097,1,30.1,True
O0000110,U000275,2024-02-07T19:06:24,P00088,1,44.14,True
O0000111,U000281,2024-02-16T16:14:32,P00007,1,5.55,True
O0000112,U000284,2024-02-22T07:04:46,P00023,1,19.72,True
O0000113,U000284,2024-01-01T10:11:37,P00023,1,19.72,True
O0000114,U000288,2024-01-20T20:37:00,P00096,1,26.15,True
O0000115,U000292,2024-01-18T21:06:35,P00077,1,58.9,True
O0000116,U000296,2024-02-02T15:35:00,P00038,1,5.26,True
O0000117,U000313,2024-01-19T03:51:33,P00003,2,13.56,True
O0000118,U000326,2024-01-07T18:34:04,P00062,1,10.85,True
O0000119,U000327,2024-01-04T14:24:05,P00063,1,16.8,True
O0000120,U000333,2024-02-22T23:52:22,P00047,1,11.82,True
O0000121,U000337,2024-01-25T00:14:38,P00014,1,31.05,True
O0000122,U000339,2024-02-22T05:37:57,P00027,1,29.21,True
O0000123,U000340,2024-01-24T10:07:38,P00086,1,14.43,True
O0000124,U000346,2024-01-15T18:59:17,P00033,1,19.65,True
O0000125,U000350,2024-02-26T04:25:48,P00019,1,10.02,True
O0000126,U000353,2024-02-05T05:46:04,P00006,1,30.24,True
O0000127,U000354,2024-02-18T19:32:45,P00073,1,39.95,True
O0000128,U000360,2024-02-13T16:49:07,P00038,3,15.78,True
O0000129,U000367,2024-01-07T13:03:10,P00002,1,27.58,True
O0000130,U000370,2024-02-29T10:56:29,P00024,3,37.2,True
O0000131,U000370,2024-02-18T14:57:37,P00068,2,63.52,True
O0000132,U000370,2024-02-28T03:33:36,P00024,1,12.4,True
O0000133,U000373,2024-02-07T19:33:12,P00034,1,38.2,True
O0000134,U000381,2024-01-11T16:49:40,P00088,2,88.28,True
O0000135,U000382,2024-02-08T00:11:50,P00012,1,11.3,True
O0000136,U000390,2024-01-14T00:38:58,P00090,1,20.57,True
O0000137,U000391,2024-01-11T04:20:30,P00032,1,16.63,True
O0000138,U000391,2024-02-28T12:51:10,P00045,2,77.46,True
O0000139,U000392,2024-01-03T11:32:15,P00002,1,27.58,True
O0000140,U000397,2024-02-28T09:30:44,P00004,1,26.15,True
O0000141,U000402,2024-02-19T00:44:43,P00023,1,19.72,True
O0000142,U000411,2024-02-15T04:22:37,P00044,1,9.34,True
O0000143,U000417,2024-01-18T03:45:56,P00074,1,27.55,True
O0000144,U000417,2024-01-06T02:11:38,P00067,1,12.83,True
O0000145,U000418,2024-01-20T09:17:27,P00055,1,5.19,True
O0000146,U000418,2024-01-15T12:35:14,P00099,1,4.05,True
O0000147,U000419,2024-01-14T09:56:27,P00081,1,10.21,True
O0000148,U000422,2024-02-19T15:40:04,P00084,1,36.19,True
O0000149,U000422,2024-02-09T21:20:25,P00075,1,6.88,True
O0000150,U000422,2024-01-27T12:01:22,P00051,1,38.54,True
O0000151,U000425,2024-01-25T22:30:05,P00070,2,29.96,True
O0000152,U000427,2024-02-19T04:07:17,P00023,1,19.72,True
O0000153,U000431,2024-02-26T17:57:23,P00033,1,19.65,True
O0000154,U000432,2024-02-07T21:26:24,P00039,1,36.24,True
O0000155,U000441,2024-01-04T08:43:04,P00021,1,188.01,True
O0000156,U000444,2024-01-26T22:34:46,P00049,2,24.2,True
O0000157,U000451,2024-01-12T15:41:53,P00029,1,64.1,True
O0000158,U000454,2024-01-24T15:58:53,P00096,2,52.3,True
O0000159,U000456,2024-01-17T10:54:09,P00028,1,16.14,True
O0000160,U000457,2024-01-31T19:38:02,P00080,2,9.62,True
O0000161,U000469,2024-01-02T03:34:04,P00096,1,26.15,True
O0000162,U000471,2024-01-15T11:30:34,P00005,1,18.14,True
O0000163,U000472,2024-02-13T21:32:18,P00047,1,11.82,True
O0000164,U000476,2024-02-19T04:14:06,P00048,1,14.57,True
O0000165,U000478,2024-02-23T01:17:51,P00004,1,26.15,True
O0000166,U000478,2024-02-11T15:12:32,P00087,1,28.34,True
O0000167,U000480,2024-02-16T23:39:04,P00082,1,21.82,True
O0000168,U000481,2024-02-25T19:40:12,P00064,1,30.5,True
O0000169,U000484,2024-02-27T07:32:20,P00015,1,24.08,True
O0000170,U000489,2024-01-03T18:23:37,P00062,2,21.7,False
O0000171,U000491,2024-02-11T18:17:19,P00059,1,5.27,True
O0000172,U000494,2024-02-21T00:51:28,P00047,1,11.82,True
O0000173,U000496,2024-01-28T13:07:53,P00096,1,26.15,True
O0000174,U000497,2024-02-18T07:41:14,P00048,1,14.57,True
O0000175,U000499,2024-02-02T15:32:08,P00026,1,55.84,True
O0000176,U000499,2024-01-13T19:59:51,P00022,3,70.5,True
